Title,Description,URL,Sentiment,Timestamp
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
"R Squared Ltd Makes New $532,000 Investment in Infosys Limited (NYSE:INFY)","R Squared Ltd acquired a new position in shares of Infosys Limited (NYSE:INFY - Free Report) during the 4th quarter, according to its most recent filing...",https://www.marketbeat.com/instant-alerts/r-squared-ltd-takes-position-in-infosys-limited-nyseinfy-2025-01-29/,neutral,11 hours ago
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
"R Squared Ltd Makes New $532,000 Investment in Infosys Limited (NYSE:INFY)","R Squared Ltd acquired a new position in shares of Infosys Limited (NYSE:INFY - Free Report) during the 4th quarter, according to its most recent filing...",https://www.marketbeat.com/instant-alerts/r-squared-ltd-takes-position-in-infosys-limited-nyseinfy-2025-01-29/,neutral,11 hours ago
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
"R Squared Ltd Makes New $532,000 Investment in Infosys Limited (NYSE:INFY)","R Squared Ltd acquired a new position in shares of Infosys Limited (NYSE:INFY - Free Report) during the 4th quarter, according to its most recent filing...",https://www.marketbeat.com/instant-alerts/r-squared-ltd-takes-position-in-infosys-limited-nyseinfy-2025-01-29/,neutral,11 hours ago
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
"R Squared Ltd Makes New $532,000 Investment in Infosys Limited (NYSE:INFY)","R Squared Ltd acquired a new position in shares of Infosys Limited (NYSE:INFY - Free Report) during the 4th quarter, according to its most recent filing...",https://www.marketbeat.com/instant-alerts/r-squared-ltd-takes-position-in-infosys-limited-nyseinfy-2025-01-29/,neutral,11 hours ago
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
"R Squared Ltd Makes New $532,000 Investment in Infosys Limited (NYSE:INFY)","R Squared Ltd acquired a new position in shares of Infosys Limited (NYSE:INFY - Free Report) during the 4th quarter, according to its most recent filing...",https://www.marketbeat.com/instant-alerts/r-squared-ltd-takes-position-in-infosys-limited-nyseinfy-2025-01-29/,neutral,11 hours ago
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
"R Squared Ltd Makes New $532,000 Investment in Infosys Limited (NYSE:INFY)","R Squared Ltd acquired a new position in shares of Infosys Limited (NYSE:INFY - Free Report) during the 4th quarter, according to its most recent filing...",https://www.marketbeat.com/instant-alerts/r-squared-ltd-takes-position-in-infosys-limited-nyseinfy-2025-01-29/,neutral,11 hours ago
Blue Trust Inc. Grows Stock Holdings in Infosys Limited (NYSE:INFY),"Blue Trust Inc. lifted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 61.2% during the fourth quarter, according to the company in its most...",https://www.marketbeat.com/instant-alerts/blue-trust-inc-raises-holdings-in-infosys-limited-nyseinfy-2025-01-28/,neutral,14 hours ago
"WATCH: Rishi Sunak, Narayan Murthy spotted at Jaipur Literature Festival; to attend special session featuring…","Rishi Sunak, the former Prime Minister of the UK, and Infosys founder NR Narayan Murthy participated in the Jaipur Literature Festival.",https://www.livemint.com/news/trends/former-uk-pm-rishi-sunak-infosys-founder-narayan-murthy-attend-jaipur-literature-festival-watch-11738386238211.html,neutral,16 hours ago
"Sebi bans two individuals from mkt, impounds illegal gains of Rs 2.6 cr in Infosys case","New Delhi, Jan 31 (PTI) Markets regulator Sebi on Friday barred two individuals from the securities market for one year and impounded illegal gains of over...",https://www.ptinews.com/story/business/sebi-bans-two-individuals-from-mkt-impounds-illegal-gains-of-rs-2-6-cr-in-infosys-case/2252848,negative,16 hours ago
"Stock Market Highlights: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers","The NSE Nifty 50 and BSE Sensex ended the Budget day on a muted note, as traders assessed the impact of announcements made by Finance Minister Nirmala...",https://www.ndtvprofit.com/markets/stock-market-highlights-on-budget-2025-day-nifty-sensex-end-on-muted-note-lt-infosys-top-draggers-closing-bell,negative,11 hours ago
"Watch: Former UK PM Rishi Sunak, Narayana Murthy attend Jaipur Literature Festival","Former UK Prime Minister Rishi Sunak and Infosys co-founder Narayana Murthy attended the Jaipur Literature Festival on Saturday, adding to the star-studded...",https://www.indiatoday.in/trending-news/story/former-uk-pm-rishi-sunak-narayana-murthy-attend-jaipur-literature-festival-watch-video-2673213-2025-02-01,neutral,15 hours ago
"Will DeepSeek's low-cost AI models benefit Indian IT firms like TCS, Infosys?",Analysts at Motilal Oswal Financial Services suggested that a shift from high-cost AI infrastructure to more affordable alternatives could open new...,http://www.msn.com/en-in/money/news/will-deepseek-s-low-cost-ai-models-benefit-indian-it-firms-like-tcs-infosys/ar-AA1y2tjd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,neutral,24 hours ago
"Robeco Institutional Asset Management B.V. Purchases 1,501,039 Shares of Infosys Limited (NYSE:INFY)","Robeco Institutional Asset Management B.V. boosted its holdings in Infosys Limited (NYSE:INFY - Free Report) by 6.2% during the fourth quarter, according to...",https://www.marketbeat.com/instant-alerts/infosys-limited-nyseinfy-stock-position-raised-by-robeco-institutional-asset-management-bv-2025-01-29/,neutral,14 hours ago
"Watch | Rishi Sunak at Jaipur Literature Festival for wife Akshata's 'My Mother, Myself' session with Sudha Murthy",Former UK Prime Minister Rishi Sunak and Infosys founder N.R. Narayana Murthy attended the Jaipur Literature Festival on Saturday. He is attending the event...,https://www.firstpost.com/india/watch-rishi-sunak-at-jaipur-literature-festival-for-wife-akshatas-my-mother-myself-session-with-sudha-murthy-13858445.html,neutral,16 hours ago
